clock: 8  -  mnemonic: LDX  -  opcode: 0xa2  -  A: 0x00  -  X: 0x00  -  Y: 0x00  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8001
clock: 10  -  mnemonic: STX  -  opcode: 0x8e  -  A: 0x00  -  X: 0x0a  -  Y: 0x00  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8003
clock: 14  -  mnemonic: LDX  -  opcode: 0xa2  -  A: 0x00  -  X: 0x0a  -  Y: 0x00  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8006
clock: 16  -  mnemonic: STX  -  opcode: 0x8e  -  A: 0x00  -  X: 0x03  -  Y: 0x00  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8008
clock: 20  -  mnemonic: LDY  -  opcode: 0xac  -  A: 0x00  -  X: 0x03  -  Y: 0x00  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x800b
clock: 24  -  mnemonic: LDA  -  opcode: 0xa9  -  A: 0x00  -  X: 0x03  -  Y: 0x0a  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x800e
clock: 26  -  mnemonic: CLC  -  opcode: 0x18  -  A: 0x00  -  X: 0x03  -  Y: 0x0a  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8010
clock: 28  -  mnemonic: ADC  -  opcode: 0x6d  -  A: 0x00  -  X: 0x03  -  Y: 0x0a  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8011
clock: 32  -  mnemonic: DEY  -  opcode: 0x88  -  A: 0x03  -  X: 0x03  -  Y: 0x0a  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8014
clock: 34  -  mnemonic: BNE  -  opcode: 0xd0  -  A: 0x03  -  X: 0x03  -  Y: 0x09  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8015
clock: 37  -  mnemonic: ADC  -  opcode: 0x6d  -  A: 0x03  -  X: 0x03  -  Y: 0x09  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8011
clock: 41  -  mnemonic: DEY  -  opcode: 0x88  -  A: 0x06  -  X: 0x03  -  Y: 0x09  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8014
clock: 43  -  mnemonic: BNE  -  opcode: 0xd0  -  A: 0x06  -  X: 0x03  -  Y: 0x08  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8015
clock: 46  -  mnemonic: ADC  -  opcode: 0x6d  -  A: 0x06  -  X: 0x03  -  Y: 0x08  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8011
clock: 50  -  mnemonic: DEY  -  opcode: 0x88  -  A: 0x09  -  X: 0x03  -  Y: 0x08  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8014
clock: 52  -  mnemonic: BNE  -  opcode: 0xd0  -  A: 0x09  -  X: 0x03  -  Y: 0x07  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8015
clock: 55  -  mnemonic: ADC  -  opcode: 0x6d  -  A: 0x09  -  X: 0x03  -  Y: 0x07  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8011
clock: 59  -  mnemonic: DEY  -  opcode: 0x88  -  A: 0x0c  -  X: 0x03  -  Y: 0x07  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8014
clock: 61  -  mnemonic: BNE  -  opcode: 0xd0  -  A: 0x0c  -  X: 0x03  -  Y: 0x06  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8015
clock: 64  -  mnemonic: ADC  -  opcode: 0x6d  -  A: 0x0c  -  X: 0x03  -  Y: 0x06  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8011
clock: 68  -  mnemonic: DEY  -  opcode: 0x88  -  A: 0x0f  -  X: 0x03  -  Y: 0x06  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8014
clock: 70  -  mnemonic: BNE  -  opcode: 0xd0  -  A: 0x0f  -  X: 0x03  -  Y: 0x05  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8015
clock: 73  -  mnemonic: ADC  -  opcode: 0x6d  -  A: 0x0f  -  X: 0x03  -  Y: 0x05  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8011
clock: 77  -  mnemonic: DEY  -  opcode: 0x88  -  A: 0x12  -  X: 0x03  -  Y: 0x05  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8014
clock: 79  -  mnemonic: BNE  -  opcode: 0xd0  -  A: 0x12  -  X: 0x03  -  Y: 0x04  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8015
clock: 82  -  mnemonic: ADC  -  opcode: 0x6d  -  A: 0x12  -  X: 0x03  -  Y: 0x04  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8011
clock: 86  -  mnemonic: DEY  -  opcode: 0x88  -  A: 0x15  -  X: 0x03  -  Y: 0x04  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8014
clock: 88  -  mnemonic: BNE  -  opcode: 0xd0  -  A: 0x15  -  X: 0x03  -  Y: 0x03  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8015
clock: 91  -  mnemonic: ADC  -  opcode: 0x6d  -  A: 0x15  -  X: 0x03  -  Y: 0x03  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8011
clock: 95  -  mnemonic: DEY  -  opcode: 0x88  -  A: 0x18  -  X: 0x03  -  Y: 0x03  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8014
clock: 97  -  mnemonic: BNE  -  opcode: 0xd0  -  A: 0x18  -  X: 0x03  -  Y: 0x02  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8015
clock: 100  -  mnemonic: ADC  -  opcode: 0x6d  -  A: 0x18  -  X: 0x03  -  Y: 0x02  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8011
clock: 104  -  mnemonic: DEY  -  opcode: 0x88  -  A: 0x1b  -  X: 0x03  -  Y: 0x02  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8014
clock: 106  -  mnemonic: BNE  -  opcode: 0xd0  -  A: 0x1b  -  X: 0x03  -  Y: 0x01  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8015
clock: 109  -  mnemonic: ADC  -  opcode: 0x6d  -  A: 0x1b  -  X: 0x03  -  Y: 0x01  -  Status: 0x20  -  Stack pointer: 0xfd  -  Program counter: 0x8011
clock: 113  -  mnemonic: DEY  -  opcode: 0x88  -  A: 0x1e  -  X: 0x03  -  Y: 0x01  -  Status: 0x22  -  Stack pointer: 0xfd  -  Program counter: 0x8014
